"Partner Countries","1998-01-01+Sum(Export Value)","2018-01-01+Sum(Export Value)","2015-01-01+Sum(Export Value)","2001-01-01+Sum(Export Value)","2002-01-01+Sum(Export Value)","2007-01-01+Sum(Export Value)","2009-01-01+Sum(Export Value)","2010-01-01+Sum(Export Value)","2011-01-01+Sum(Export Value)","2013-01-01+Sum(Export Value)","2014-01-01+Sum(Export Value)","2016-01-01+Sum(Export Value)","2019-01-01+Sum(Export Value)","2020-01-01+Sum(Export Value)","2021-01-01+Sum(Export Value)","2022-01-01+Sum(Export Value)","2023-01-01+Sum(Export Value)","2024-01-01+Sum(Export Value)","1992-01-01+Sum(Export Value)","1997-01-01+Sum(Export Value)","1989-01-01+Sum(Export Value)","2003-01-01+Sum(Export Value)","2008-01-01+Sum(Export Value)","2017-01-01+Sum(Export Value)","1986-01-01+Sum(Export Value)","1987-01-01+Sum(Export Value)","1988-01-01+Sum(Export Value)","1993-01-01+Sum(Export Value)","Cluster","PCA dimension 0"
"Belgium-Luxembourg",0.07594474703801449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15776581589452038,0.10697974881317228,0.11025625966602064,0,0,0,0.2239001189060642,0.2012066837062925,0.21416782767120351,0,"cluster_1",0.017291066488811794
"Benin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040396171020075453,0.00036869308735243585,0,0,0,0,0,0,0,0,0,0.0027993670996122617,0.0009216589861751152,0,"cluster_1",0.1863153505359737
"Bhutan",0,0,0,0,0,0,0,0,0,0,0.0002919179593766968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.1869285963805288
"Bolivia (Plurinational State of)",0.000014037846032904711,0,0,0,0,0.00003534880432669365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18697120320917246
"Bosnia and Herzegovina",0.015357403559997753,0,0.003473349062809729,0,0,0,0,0.01008697936134318,0.01984286865431104,0,0.00033862483287696823,0.00030874459696955307,0,0,0,0,0,0,0,0.009840153836908838,0,0,0.007918719748833559,0.001970057193545226,0,0,0,0,"cluster_1",0.1713833002822375
"Botswana",0.011019709135830199,0.0090137976986367,0.014077589004569735,0.011613036303630362,0.013420942261987976,0.00896092189681684,0.007194694093333975,0.01240036771762519,0.027049300417551825,0.06684800948981992,0.018700264477671195,0.02602954448297155,0.01636444344329091,0.00937507694580553,0.010596781290801936,0.006267782484991409,0.006247968272544048,0.006346789945878784,0.008331317285593323,0.01604470885163151,0.008985728548775475,0.013397092868799575,0.014677538917716828,0.011320093036208826,0.040139289960930864,0.009024046737259402,0.007994855856821349,0,"cluster_1",0.10514938750370667
"Brazil",0.02536638778145881,0.040247654840424335,0.0015524817780740456,0.023184818481848186,0.07750993589103473,0.013379522437653547,0.015038208295285242,0.00007576599420137592,0.025108050692256977,0.032754195257135264,0.018688587759296126,0.005017099700755237,0.007658824542689996,0.004075049860881984,0.00714146594819191,0.0034295413597122803,0.005714842988102204,0.04087914794065136,0,0.001547382969773451,0,0.028729743064252914,0.025404439018008984,0.004316591285333389,0.00015287922541192456,0,0,0,"cluster_1",0.10201069825885685
"Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004133781014258929,0,0,0,0,0,"cluster_1",0.18613504947971174
"Bulgaria",0.003144477511370655,0.0021037185658778347,0.004482023664383262,0.015655940594059406,0.0024565117533102993,0.002553951112603616,0.007521507185081944,0.04435846407176555,0.06772397626547505,0.08686048533066092,0.012721784669636445,0.004358048734147153,0.007168553767465896,0.0006709674242237708,0.001110894703052075,0.0038608427071811675,0.013302125999609908,0.029590368998113875,0,0.002989603990144823,0,0.00278947967664807,0.005189028910303929,0.0004125774227319845,0,0,0,0,"cluster_1",0.11286824349601661
"Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010065500871341865,0,0,0,0,0,0,0,0,"cluster_1",0.18676227611585594
